,0,1,2,3,4
259,USA-CA,True,2021-02-27 20:18:36,,
260,USA-TX,True,2021-02-27 20:16:17,,
261,USA-VA,True,2021-02-27 20:12:10,,
262,USA-OR,True,2021-02-27 20:11:56,,
263,USA-TX,True,2021-02-27 20:11:21,RTX 3080,
264,US-CA,True,2021-02-27 20:08:02,,
265,USA-NJ,True,2021-02-27 20:03:27,,
266,USA-CO,True,2021-02-27 20:02:38,,
267,USA-NY,True,2021-02-27 20:00:40,,
268,USA-MA,True,2021-02-27 19:58:42,,
269,USA-IL,True,2021-02-27 19:58:02,,
270,USA-NY,True,2021-02-27 19:56:33,,
271,USA-NJ,True,2021-02-27 19:56:00,RTX 3060 Ti,
272,USA-LA,True,2021-02-27 19:54:02,RTX 3080,1800
273,USA-MA,True,2021-02-27 19:53:21,,
274,USA-ID,True,2021-02-27 19:49:52,RTX 3070,
275,USA-CA,True,2021-02-27 19:49:48,,
276,USA-NJ,True,2021-02-27 19:48:40,,
277,US-OH,False,2021-02-27 19:39:57,,
278,USA-KS,True,2021-02-27 19:38:06,Quadro,
279,USA-TX,True,2021-02-27 19:35:18,,
280,USA-TX,True,2021-02-27 19:34:38,,
281,USA-CA,True,2021-02-27 19:33:18,,
282,USA-NV,True,2021-02-27 19:28:25,,
283,USA-TN,True,2021-02-27 19:19:30,,
284,USA-CT,True,2021-02-27 19:17:45,,
285,USA-AZ,True,2021-02-27 19:15:55,,
286,USA-MN,True,2021-02-27 19:15:42,,
287,USA-IL,True,2021-02-27 19:13:49,,
288,USA-NH,True,2021-02-27 19:09:55,,
289,USA-CA,True,2021-02-27 19:08:47,,
290,USA-NH,True,2021-02-27 19:07:10,,
291,USA-IL,True,2021-02-27 19:06:57,,
292,USA-CO,True,2021-02-27 19:03:03,,
293,USA-CA,True,2021-02-27 19:02:25,,
294,USA-AR,True,2021-02-27 18:58:44,,
295,USA-NV,True,2021-02-27 18:58:03,,
296,USA-FL,True,2021-02-27 18:56:26,,
297,US-NH,True,2021-02-27 18:55:11,,
298,USA-AE,True,2021-02-27 18:54:12,,
299,USA-NM,True,2021-02-27 18:50:57,Quadro,
300,USA-MD,True,2021-02-27 18:50:51,,
301,USA-PA,True,2021-02-27 18:50:41,,
302,USA-NH,True,2021-02-27 18:50:37,,
303,USA-TX,True,2021-02-27 18:49:46,RTX 3080,
304,USA-OR,True,2021-02-27 18:49:07,,
305,USA-MO,True,2021-02-27 18:47:34,,
306,USA-OH,True,2021-02-27 18:46:51,,
307,USA-NC,True,2021-02-27 18:42:11,,
308,USA-UT,True,2021-02-27 18:40:52,,
309,USA-MA,True,2021-02-27 18:40:02,,
310,USA-MA,True,2021-02-27 18:39:03,RTX 2070,550
311,USA-CA,True,2021-02-27 18:38:40,,
312,USA-WI,True,2021-02-27 18:37:11,,
313,USA-NY,True,2021-02-27 18:33:20,,
314,USA-KY,True,2021-02-27 18:28:08,,
315,ISR,True,2021-02-27 18:26:35,,
316,USA-ME,True,2021-02-27 18:21:23,RTX 3080,
317,USA-VA,True,2021-02-27 18:21:07,RTX 3080,
318,USA-ND,True,2021-02-27 18:20:00,RTX 3080,
319,USA-NJ,True,2021-02-27 18:17:38,,
320,USA-VA,True,2021-02-27 18:16:16,,
321,USA-MD,True,2021-02-27 18:13:12,,
322,USA-MI,True,2021-02-27 18:03:48,,
323,USA-NC,True,2021-02-27 18:01:48,,
324,USA-CA,True,2021-02-27 18:00:57,,
325,USA-RI,True,2021-02-27 18:00:11,,
326,USA-ID,True,2021-02-27 17:55:45,,
327,USA-IL,True,2021-02-27 17:53:45,,
328,USA-NY,True,2021-02-27 17:53:05,,
329,USA-FL,True,2021-02-27 17:52:54,,
330,USA-IN,True,2021-02-27 17:50:12,,
331,USA-FL,True,2021-02-27 17:49:32,,
332,USA-NY,True,2021-02-27 17:48:41,RTX 3070,
333,USA-GA,True,2021-02-27 17:45:51,,
334,USA-SC,True,2021-02-27 17:42:42,,
335,USA-AR,True,2021-02-27 17:40:14,,
336,USA-NJ,True,2021-02-27 17:40:14,,
337,USA-NJ,True,2021-02-27 17:40:07,,
338,USA-IA,True,2021-02-27 17:34:55,,
339,USA-FL,True,2021-02-27 17:32:55,,
340,USA-CO,True,2021-02-27 17:24:18,,
341,USA-NV,True,2021-02-27 17:22:27,,
342,USA-NC,True,2021-02-27 17:20:04,,
343,USA-NC,True,2021-02-27 17:16:40,,
344,USA-AL,True,2021-02-27 17:15:10,,
345,USA-NYC,True,2021-02-27 17:14:36,,
346,USA-MD,True,2021-02-27 17:13:18,,
347,USA-HI,True,2021-02-27 17:06:55,,
348,USA-CA,True,2021-02-27 17:03:43,,
349,USA-NY,True,2021-02-27 17:03:00,RTX 3070,
350,USA-TX,True,2021-02-27 17:02:28,,
351,USA-PA,True,2021-02-27 16:54:26,,
352,USA-CA,True,2021-02-27 16:48:55,RTX 2070,
353,USA-FL,True,2021-02-27 16:39:28,,
354,US-IL,True,2021-02-27 16:38:50,,
355,USA-MS,True,2021-02-27 16:37:33,,
356,USA-MN,True,2021-02-27 16:36:53,,
357,USA-OR,True,2021-02-27 16:34:16,,
358,USA-VA,True,2021-02-27 16:34:05,,
359,USA-TX,True,2021-02-27 16:25:34,,
360,USA-ND,True,2021-02-27 16:16:42,,
361,USA-OH,True,2021-02-27 16:16:30,,
362,USA-OH,True,2021-02-27 16:13:59,,
363,USA-NV,True,2021-02-27 16:12:14,,
364,USA-NYC,True,2021-02-27 16:10:54,,
365,CAN-ON,True,2021-02-27 16:09:52,,
366,USA-CA,True,2021-02-27 16:08:44,,
367,USA-CA,True,2021-02-27 16:07:44,,
368,USA-TX,True,2021-02-27 16:07:08,,
369,USA-TX,True,2021-02-27 16:02:09,,
370,USA-FL,True,2021-02-27 15:59:26,,
371,USA-NC,True,2021-02-27 15:57:55,,
372,ISA-IN,True,2021-02-27 15:48:35,,
373,USA-WA,True,2021-02-27 15:42:40,,
374,USA-MA,True,2021-02-27 15:38:50,,
375,USA-VA,True,2021-02-27 15:35:36,,
376,USA-NYC,True,2021-02-27 15:35:35,,
377,USA-FL,True,2021-02-27 15:32:52,,
378,USA-TX,True,2021-02-27 15:16:39,,
379,USA-NM,True,2021-02-27 15:12:53,RTX 3070,
380,USA-TX,True,2021-02-27 14:36:06,,
381,USA-VA,True,2021-02-27 14:34:41,,
382,USA-MA,True,2021-02-27 14:33:30,,
383,USA-OH,True,2021-02-27 14:33:16,,
384,ESP,True,2021-02-27 14:32:00,RTX 3080,
385,USA-VA,True,2021-02-27 14:23:20,,
386,USA-NC,True,2021-02-27 14:21:01,,
387,USA-MO,True,2021-02-27 14:13:09,RTX 3080,
388,USA-PA,True,2021-02-27 14:11:01,,
389,USA-VA,True,2021-02-27 14:04:25,,
390,USA-IN,True,2021-02-27 13:55:18,Quadro,
391,USA-VA,True,2021-02-27 13:52:49,,
392,USA-TX,True,2021-02-27 13:52:03,,
393,USA-DE,True,2021-02-27 13:45:25,,
394,USA-FL,True,2021-02-27 13:43:01,,
395,USA-MI,True,2021-02-27 13:32:07,,
396,USA-NY,True,2021-02-27 13:23:12,,
397,USA-NJ,True,2021-02-27 13:13:27,,
398,USA-CA,True,2021-02-27 13:11:33,,
399,USA-IL,True,2021-02-27 13:06:58,RTX 3070,
400,USA-MA,True,2021-02-27 13:05:50,,
401,USA-FL,True,2021-02-27 13:01:19,,
402,USA-KY,True,2021-02-27 13:01:08,,
403,CAN-ON,True,2021-02-27 12:50:05,,
404,USA-PR,True,2021-02-27 12:06:31,,
405,USA-NC,True,2021-02-27 11:27:59,,
406,USA-TX,True,2021-02-27 10:23:59,RTX 2070,410
407,USA-GA,True,2021-02-27 10:02:50,,
408,USA-CA,True,2021-02-27 10:01:47,,
409,USA-MD,True,2021-02-27 09:50:38,,
410,USA-PA,True,2021-02-27 09:43:37,,
411,USA-CT,True,2021-02-27 09:39:04,,
412,BEL,True,2021-02-27 09:12:45,RX 6800 XT,
413,USA-IA,True,2021-02-27 09:10:50,,
414,USA-GA,True,2021-02-27 09:00:22,,
415,USA-CA,True,2021-02-27 08:55:03,,
416,USA-OR,True,2021-02-27 08:45:13,RX 6800,
417,USA-CA,True,2021-02-27 07:54:03,,
418,USA-OR,True,2021-02-27 07:28:00,,
419,USA-TX,True,2021-02-27 07:26:19,,
420,USA-SC,True,2021-02-27 07:25:36,,
421,USA-WA,True,2021-02-27 07:16:47,,
422,USA-TX,True,2021-02-27 06:53:32,,
423,USA-TX,True,2021-02-27 06:44:44,,
424,USA-CA,True,2021-02-27 06:35:59,,
425,USA-CA,True,2021-02-27 06:35:48,,
426,USA-AR,True,2021-02-27 06:33:33,,
427,USA-SC,True,2021-02-27 06:32:45,,
428,USA-WA,True,2021-02-27 06:26:33,,
429,USA-WI,True,2021-02-27 06:26:28,,
430,USA-DE,True,2021-02-27 06:19:29,,
431,USA-NY,True,2021-02-27 06:18:14,,
432,USA-TN,True,2021-02-27 06:16:00,,
433,USA-OH,True,2021-02-27 06:11:21,,
434,USA-OH,True,2021-02-27 06:09:03,,
435,USA-CA,True,2021-02-27 06:07:43,,
436,USA-OH,True,2021-02-27 06:07:22,,
437,USA-NY,True,2021-02-27 06:05:28,,
438,USA-OR,True,2021-02-27 06:04:18,,
439,USA-IL,True,2021-02-27 06:02:21,,
440,USA-TX,True,2021-02-27 05:58:33,,
441,USA-CA,True,2021-02-27 05:57:15,RTX 3090,
442,USA-NY,True,2021-02-27 05:52:59,,
443,USA-TX,True,2021-02-27 05:51:51,,
444,USA-AL,True,2021-02-27 05:50:46,,
445,USA-MO,True,2021-02-27 05:41:22,,
446,USA-CA,True,2021-02-27 05:39:43,,
447,USA-CA,True,2021-02-27 05:38:50,RTX 3070,
448,USA-NY,True,2021-02-27 05:35:52,,
449,USA-CA,True,2021-02-27 05:33:26,,
450,USA-CA,True,2021-02-27 05:29:08,,
451,USA-IL,True,2021-02-27 05:21:17,Quadro,200
452,USA-IL,True,2021-02-27 05:18:30,GeForce GTX 1080,550
453,USA-WA,True,2021-02-27 05:16:11,,
454,USA-PA,True,2021-02-27 05:13:48,,
455,USA-NY,True,2021-02-27 05:04:40,,
456,USA-GA,True,2021-02-27 05:03:08,,
457,USA-NY,True,2021-02-27 05:00:50,,
458,USA-TN,True,2021-02-27 04:53:28,,
459,USA-PA,True,2021-02-27 04:40:05,,
460,USA-CA,True,2021-02-27 04:34:33,,
461,USA-CA,True,2021-02-27 04:30:46,,
462,USA-CA,True,2021-02-27 04:24:03,,
463,USA-NY,True,2021-02-27 04:21:14,,
464,USA-SC,True,2021-02-27 04:20:23,,
465,USA-CA,True,2021-02-27 04:19:02,,
466,USA-WA,True,2021-02-27 04:18:59,RTX 3070,
467,USA-AZ,True,2021-02-27 04:14:48,,
468,USA-PA,True,2021-02-27 04:05:28,,
469,USA-MI,True,2021-02-27 03:58:49,,
470,USA-MN,True,2021-02-27 03:57:03,,
471,USA-NY,True,2021-02-27 03:54:50,,
472,USA-FL,True,2021-02-27 03:54:36,,
473,USA-CO,True,2021-02-27 03:48:18,,
474,USA-NV,True,2021-02-27 03:47:23,,
475,USA-PA,True,2021-02-27 03:44:01,,
476,USA-OK,True,2021-02-27 03:33:00,,
477,USA-PA,True,2021-02-27 03:28:58,,
478,USA-IN,True,2021-02-27 03:28:04,,
479,USA-OR,True,2021-02-27 03:25:39,,
480,USA-NY,True,2021-02-27 03:15:25,,
481,USA-PA,True,2021-02-27 03:13:38,RTX 3070,"1,650**"
482,USA-CA,True,2021-02-27 03:11:46,,
483,USA-CA,True,2021-02-27 03:06:30,,
484,USA-CA,True,2021-02-27 03:01:54,,
485,USA-PA,True,2021-02-27 03:01:50,,
486,USA-NJ,True,2021-02-27 03:00:23,,
487,USA-TX,True,2021-02-27 02:58:24,,
488,USA-NC,True,2021-02-27 02:56:16,,
489,USA-VA,True,2021-02-27 02:51:30,,
490,USA-NJ,True,2021-02-27 02:45:05,,
491,USA-OH,True,2021-02-27 02:43:17,,
492,USA-HI,True,2021-02-27 02:39:39,,
493,USA-VA,True,2021-02-27 02:34:20,,
494,USA-NY,True,2021-02-27 02:24:56,,
495,USA-GA,True,2021-02-27 02:22:36,,
